Song,Artist,Album,Cover art ,Year released
Dejarme Entrar,Rauw Aljejandro,Single,https://i.scdn.co/image/ab67616d0000b2733262ccdb77a025e782a53bfb,2024
tu foto,Ozuna,dile que tu me quieres,https://i.scdn.co/image/ab67616d0000b273b0a875d7f1bfe4ec4aaffa48,2017
Pyramids,Frank Ocean,chanel Orange,https://cdns-images.dzcdn.net/images/cover/519400e29d268f449cf00af879e71af6/500x500-000000-80-0-0.jpg,2012
Getting older, Billie Eilish,happier than ever,https://upload.wikimedia.org/wikipedia/en/4/45/Billie_Eilish_-_Happier_Than_Ever.png,2021
11:00 PM,Maluma,11:11,https://i.scdn.co/image/ab67616d0000b273073bc2070f7fa02b2a6bda64,2019
20 something,Sza,control,https://upload.wikimedia.org/wikipedia/en/b/bf/SZA_-_Ctrl_cover.png,2017
Tired,Beabadoobee,patched up,https://i.scdn.co/image/ab67616d0000b273b7f4ddd5eb08ea159e4f1d3d,2018
Beauty And a Beat,"Justin Beiber,Nicki Manaj",Believe(Deluxe Edition),https://cdns-images.dzcdn.net/images/cover/312ece7b31fb86c7a13afd757e99437c/1900x1900-000000-80-0-0.jpg,2012
El Amor Que Perdimos,Prince Royce,Prince Royce,https://cdns-images.dzcdn.net/images/cover/b39fef4cbbb2030f3f3d5afe73c97f0b/500x500.jpg,2010
Birds of a Feather,Billie Eilish,HIT ME HARD AND SOFT,https://upload.wikimedia.org/wikipedia/en/a/aa/Billie_Eilish_-_Hit_Me_Hard_and_Soft.png,2024
