Song,Artist,Album,Cover art,Year released
Low ,SZA,SOS,https://upload.wikimedia.org/wikipedia/en/2/2c/SZA_-_S.O.S.png,2024
Tummy Hurts,Renee Rapp,Snow Angel-Deluxe,https://i.scdn.co/image/ab67616d0000b27308688d64d1b26bbee0e87857,2023
pink+white,Frank Ocean,Blond,https://images.genius.com/750737a023d383b93057b73d546bfe4e.1000x1000x1.png,2016
Turks & Caicos,Rod wave,Nostalgia,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Rod_Wave_-_Nostalgia.png/220px-Rod_Wave_-_Nostalgia.png,2023
Don't ,Bryson Tiller,T R A P S O U L,https://i.scdn.co/image/ab67616d0000b273d5f3cea8affdca01a0dc754f,2015
Consideration,"Rihanna,SZA",Anti,https://i.scdn.co/image/ab67616d0000b27333c6b920eabcf4c00d7a1093,2016
Kehlani,Jordan Adetunji,KEHLANI(REMIX),https://i1.sndcdn.com/artworks-uVI4nOJiyO4ilU1y-gocUEw-t500x500.jpg,2024
Higher,Tems,For Broken Ears,https://cdn.wildstream.ng/storage/jungle/crop/200/X1EQHCtu7TbHIHh9K5q.jpg,2020
All Falls Down,"Kanye West,Syleena Johnson",The college dropout,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,2004
Solo,Frank Ocean,Blond,https://i.discogs.com/PhuE9TUsSEl0Ru2FAZztlf9-regTU-CWugsDjBiPDqY/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1NTAw/ODc3LTE2NzQ3Nzgy/MzgtMjgxMi5qcGVn.jpeg,2016
