Song,Artist,Album,Cover Art,Year relseased 
Throw Away,Future,Monster,https://i1.sndcdn.com/artworks-1hkAu27EcmJh-0-t500x500.jpg,2014
Pink Matter,Frank Ocean,Channel Orange,https://i1.sndcdn.com/artworks-6uTb4RUof7Ly-0-t500x500.jpg,2012
Cinderella,Future,We Don't Trust You,https://i1.sndcdn.com/artworks-Ol1NFXHrb5BK-0-t500x500.jpg,2024
Les,Childish Gambino,Camp,https://i1.sndcdn.com/artworks-UYz8GemqFw5L-0-t500x500.jpg,2011
Cameras,Drake,Take Care,https://i.scdn.co/image/ab67616d0000b273c7ea04a9b455e3f68ef82550,2011
Shades Of Cool,Lana Del Rey,Ultraviolence(Deluxe),https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,2014
Nervous,The Neighbourhood,The Neighbourhood,https://cdns-images.dzcdn.net/images/cover/a9d9bda18a953e9ae74e2af5d3d45610/0x1900-000000-80-0-0.jpg,2018
House Of Balloons,The Weeknd,Trilogy,https://images.genius.com/da5c113dd66b79605b1a74911dbb4576.1000x1000x1.png,2011
Use Your Heart - Interlude ,SWV,New Beginning,https://images.genius.com/9bb6c2130589cfe3375dab40e4bb30de.1000x1000x1.png,1996
All I Need,lloyd,Tru,https://i.scdn.co/image/ab67616d0000b2733464e37906e148700334bf3c,2018
