anime_id,Name,Score,Genres,English name,sypnopsis,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
42497,Douluo Dalu: Qian Hua Xi Jin,8.15,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy",Unknown,Fourth part of Douluo Dalu .,ONA,13,"Feb 22, 2020 to May 16, 2020",Unknown,Unknown,Unknown,Sparkly Key Animation Studio,Novel,20 min. per ep.,PG-13 - Teens 13 or older,357,7645,3287,24,196,2339,35,55
4921,Ramayana: The Legend of Prince Rama,8.04,Adventure,Ramayana:The Legend of Prince Rama,"heatrical anime movie of the original story of the epic Indian classical ""Ramayana"" and a joint production between Japan and India. Prince Rama, one of the four Princes of Ayodhya, will be expelled from the palace through a conspiracy. Rama is banished to the forest for 14 years. A girl named Sita and Lakshman, Rama's brother, go with him into the forest. Ravana, the King of Demons, falls in love with Sita and kidnaps her. In order to save his love, Rama goes to Lanka with the help of an army of monkeys and friends of the forest. A feature film based on a story of true love, friendship, and trust, this anime is about 2 hours and 15 minutes long, with musical elements from Indian cinemas in between.",Movie,1,10-Mar-92,Unknown,Unknown,Unknown,Nippon Ramayana Film Co.,Other,2 hr. 15 min.,G - All Ages,495,7529,3387,55,85,2360,35,74
44235,Pui Pui Molcar,8.33,Kids,Unknown,"The stage sets in a world where guinea pigs became cars. The car that makes you relax, ""Molcar"". Having big round eyes, curvy butt and speedy limbs, they always explore the world with their innocent faces. Even during traffic jams, you can be eased just by looking at the butt of that Molcar in front of you. Even when they cause trouble, their furry cuteness will somehow make you forgive them!? Surrounded by situations only met by cars, it's a Mol-animation filled with cure, friendship, adventure and furry actions! (Source: Muse Asia, edited)",TV,0,"Jan 5, 2021 to ?",Winter 2021,Unknown,Unknown,Shin-Ei Animation,Other,2 min.,G - All Ages,206,7521,3418,73,2624,0,48,108
42496,Douluo Dalu: Hao Tian Yang Wei,8.06,"Action, Adventure, Historical, Supernatural, Martial Arts, Fantasy",Unknown,Third part of Douluo Dalu .,ONA,13,"Nov 23, 2019 to Feb 15, 2020",Unknown,Unknown,Unknown,Sparkly Key Animation Studio,Novel,20 min. per ep.,PG-13 - Teens 13 or older,468,7480,3510,23,216,2433,35,54
42498,Douluo Dalu: Xiaowu Juebie,8.24,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy",Unknown,Fifth part of Douluo Dalu .,ONA,0,"May 23, 2020 to ?",Unknown,Unknown,Unknown,Sparkly Key Animation Studio,Novel,20 min.,PG-13 - Teens 13 or older,268,7052,4056,76,2515,2,117,125
40211,Luo Xiao Hei Zhan Ji (Movie),8.35,"Adventure, Drama, Fantasy",The Legend of Hei,prequel film to the Luo Xiao Hei Zhan Ji web anime. Viewers will discover how Xiao Hei obtained the last name Luo. It is also expected episode 28 of the web series will be released right before the feature film airs in theaters after a 2 year hiatus.,Movie,1,7-Sep-19,Unknown,Unknown,Unknown,Unknown,Original,1 hr. 41 min.,G - All Ages,187,5556,7427,104,382,2475,111,108
1382,Yuusha-Ou GaoGaiGar Final,8.08,"Adventure, Drama, Mecha, Sci-Fi, Shounen",GaoGaiGar Final,"Following Gutsy Galaxy Guard`s victory over the Zonder Empire and the 31 Primevals, a new threat makes their appearance on Earth. GGG - with Guy Shishio and the newly-constructed GaoFighGar - team up with their French counterpart Chasseur to battle the evil organization BioNet. Among Chasseur`s ranks is Renais Cardiff Shishioh - a former BioNet cyborg with the relentless pursuit of destroying those who took away her humanity. But as GGG and Chasseur fight the BioNet, GGG`s bases around the world are suddenly attacked, and the recently-discovered ""Q-Parts"" and the original Gao Machines are stolen by Mamoru Amami, who has been abducted and cloned by an even greater threat known as the ""Eleven Kings of Sol."" Evicted from Earth by the United Nations, GGG must now travel to the far reaches of the galaxy to battle the Eleven Kings of Sol and save Mamoru before it`s too late. (Source: ANN)",OVA,8,"Jan 21, 2000 to Mar 21, 2003",Unknown,Unknown,Unknown,Sunrise,Unknown,32 min. per ep.,PG-13 - Teens 13 or older,436,5401,7856,165,210,4355,162,197
29831,Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.1,"Comedy, Drama, Slice of Life",Unknown,The final movie of a four-part finale of Tamayura .,Movie,1,2-Apr-16,Unknown,"Shochiku, flying DOG",Unknown,TYO Animations,Original,57 min.,G - All Ages,407,5337,8119,49,333,3041,141,149
37822,Douluo Dalu: Jingying Sai,8.17,"Action, Adventure, Historical, Supernatural, Martial Arts, Fantasy",Unknown,Second part of Douluo Dalu .,ONA,52,"Dec 1, 2018 to Nov 16, 2019",Unknown,Unknown,Unknown,Sparkly Key Animation Studio,Novel,20 min. per ep.,PG-13 - Teens 13 or older,335,4970,9620,193,3317,2821,273,345
40435,Mo Dao Zu Shi Q,8.14,"Comedy, Historical, Supernatural, Magic",The Founder of Diabolism Q,"The chibi spin-off takes place during the three periods of Wei Wuxian's life (adolescence, adulthood, and rebirth after death), selecting the cute, warm, and healing parts as the main contents. This series hopes to heal the audience who loves the main story of Mo Dao Zu Shi , but were “injured” by the melancholy plot of the drama. (Source: Official Youtube, edited)",ONA,30,"Jul 31, 2020 to Jan 29, 2021",Unknown,Tencent Penguin Pictures,Unknown,B.CMAY PICTURES,Novel,5 min. per ep.,PG-13 - Teens 13 or older,377,4964,9691,124,3844,426,289,192
